04:15|04:15|By-and-by he took out his watch, and was surprised to find that it was a quarter past four.|Lady Audley's Secret|Mary Elizabeth Braddon|sfw
04:15|04:15|The garret of the house that Legree occupied, like most other garrets, was a great, desolate space, dusty, hung with cobwebs, and littered with cast-off lumber.|Uncle Tom's Cabin|Harriet Beecher Stowe|sfw
04:30|04:30|Funny my watch stopped at half past four.|Ulysses|James Joyce|sfw
04:30|04:30|Suddenly the daylight began to fade away; Franz took out his watch—it was half-past four.|The Count of Monte Cristo|Alexandre Dumas|sfw
04:30|04:30|They adjourned to a private room, and it was full half-past four before they came out of it.|East Lynne|Mrs. Henry Wood|sfw
04:45|04:45|I’ve got poor little Fanny Robin in my waggon outside, and I must be at the churchyard gates at a quarter to five with her.” “Ay—I’ve heard of it.|Far from the Madding Crowd|Thomas Hardy|sfw
05:00|05:00|So she knew it was three minutes to five.|Five Children and It|Edith Nesbit|sfw
05:00|05:00|She left about five o'clock, taking her maid.|The Story of an African Farm|Olive Schreiner|sfw
05:00|05:00|"It's pitchy dark,"" she exclaimed, ""and yet almost five o'clock."|The Garies and Their Friends|Frank J. Webb|sfw
05:15|05:15|At ten minutes past five Albert entered overjoyed.|The Count of Monte Cristo|Alexandre Dumas|sfw
05:15|05:15|A quarter-past five,” said the Count, looking at his watch.|The Woman in White|Wilkie Collins|sfw
05:15|05:15|He had no occupation, but was interested in several companies and went into town as a rule in the morning, returning by the 5:14 from Cannon Street every night.|The Adventures of Sherlock Holmes|Arthur Conan Doyle|sfw
05:30|05:30|It might have been half-past five o’clock.|Les Miserables|Victor Hugo|sfw
05:30|05:30|At half past five o’clock we proceeded to the House.|The Last Man|Mary Shelley|sfw
05:30|05:30|She came in at half-past five and said that she had taken poison.|The Voyage Out|Virginia Woolf|sfw
05:45|05:45|Let me see—what o’clock is it now?” It was a quarter to six.|The Woman in White|Wilkie Collins|sfw
05:45|05:45|We will dine a little earlier, though, Cornelia, say a quarter before six.|East Lynne|Mrs. Henry Wood|sfw
05:45|05:45|If you had come in yesterday at a particular moment—about half-past five, perhaps, or a quarter to six—you would have found me in tears.|The Picture of Dorian Gray|Oscar Wilde|sfw
06:00|06:00|He’s told the nurse to stay away until six o’clock.|The Secret Garden|Frances Hodgson Burnett|sfw
06:00|06:00|Oh, at six o’clock: he keeps early hours in the country.|Jane Eyre|Charlotte Bronte|sfw
06:00|06:00|It is now six o'clock, and it wanted three minutes to five when he left.|The Garies and Their Friends|Frank J. Webb|sfw
06:15|06:15|Now, papa, if you are going down by the 6:10 train you ought to start.|The Story of an African Farm|Olive Schreiner|sfw
06:15|06:15|What time is your train, Fred?” “Ten minutes past six; very nearly dark.|North and South|Elizabeth Gaskell|sfw
06:15|06:15|It is scarcely a quarter of an hour since I told you it was but ten minutes past six.” “I am so thirsty!” announced the poor invalid.|East Lynne|Mrs. Henry Wood|sfw
06:30|06:30|It’s half-past six, and I may be out for some time.|North and South|Elizabeth Gaskell|sfw
06:30|06:30|About half-past six.” “We will be with you at that time,” said the major.|The Count of Monte Cristo|Alexandre Dumas|sfw
06:30|06:30|IRON ROUTINE A loud-clamoring bell awakened us at half-past six in the cold winter mornings.|American Indian Stories|Zitkala-Sa|sfw
06:45|06:45|M., on 1st May, arriving at Vienna early next morning; should have arrived at 6:46, but train was an hour late.|Dracula|Bram Stoker|sfw
07:00|07:00|I have not seen him since seven o’clock.|Persuasion|Jane Austen|sfw
07:00|07:00|They had risen at seven o’clock or earlier.|Crime and Punishment|Fyodor Dostoevsky|sfw
07:00|07:00|At seven o’clock he came, and inquired if Miss Linton had risen.|Wuthering Heights|Emily Bronte|sfw
07:15|07:15|Glancing out of the corner of his eye into a shop, he saw by a clock on the wall that it was ten minutes past seven.|Crime and Punishment|Fyodor Dostoevsky|sfw
07:15|07:15|Baseball and sports 4:30-5:00 ” Practise elocution, poise and how to attain it 5:00-6:00 ” Study needed inventions 7:00-9:00 ” General Resolves *|The Great Gatsby|F. Scott Fitzgerald|sfw
07:30|07:30|She looked at her new watch--half past seven.|East Lynne|Mrs. Henry Wood|sfw
07:30|07:30|He said he would be here at half-past seven; now it must be eight.|The Awakening|Kate Chopin|sfw
07:30|07:30|It was not more than half-past seven in the morning when he again reached Stone Court.|Middlemarch|George Eliot|sfw
